grant_no,title,abstract,program_area,fiscal_year,amount_usd,awardee,org_unit,classification_band,batch_id,created_at
ONRD-2021-MATL-00087,Modular High-entropy Alloy Design for Hull Coating for Biofouling Resistance,"This effort develops high-entropy alloy design to address persistent corrosion rate-driven challenges in hull coating for biofouling resistance. Research activities include algorithm development, additive manufacturing process qualification integration, and iterative field evaluation to quantify gains in corrosion rate. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2021,2954000,University of Cobalt,Code-32,CUI-Mock,seed-initial-2026,2021-04-28T08:29:10+00:00
ONRD-2021-BIOT-00088,Next-Generation Biomarker-based Fatigue Detection for Rapid Diagnostic Triage in Austere Environments,"This effort develops biomarker-based fatigue detection to address persistent field ruggedization-driven challenges in rapid diagnostic triage in austere environments. The performer will design, implement, and evaluate a prototype capability, validating performance against biomarker specificity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is physiological baseline; the performer will mitigate this through early prototyping and government checkpoint reviews.",Biotech,2021,368000,Windrose Advanced Systems Group,Code-30,CUI-Mock,seed-initial-2026,2021-01-06T16:18:33+00:00
ONRD-2021-AUTO-00089,Field-Deployable Approaches to Unmanned Surface Vessel (USV) Picket Lines via Onboard Perception-to-action Pipelines,"This effort develops onboard perception-to-action pipelines to address persistent swarm resilience-driven challenges in unmanned surface vessel (USV) picket lines. Research activities include algorithm development, cooperative multi-vehicle routing integration, and iterative field evaluation to quantify gains in navigation drift. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback.",Autonomy,2021,474000,Meridian Dynamics Corp.,ONR-Corporate,CUI-Mock,seed-initial-2026,2021-01-24T12:29:59+00:00
ONRD-2021-QNTM-00090,Phase II: Photonic Quantum Sensing for Precision Timing for Distributed Platforms,This effort develops photonic quantum sensing to address persistent qubit fidelity-driven challenges in precision timing for distributed platforms. The team will conduct a phased study combining quantum error-correction code development with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in sensor sensitivity and a documented transition path informed by operational stakeholder feedback.,Quantum,2021,814000,University of Cinderpoint,Code-35,CUI-Mock,seed-initial-2026,2021-01-22T09:36:02+00:00
ONRD-2021-CYBR-00091,Phase I: Zero-trust Network Architecture Design for Tactical Edge Cyber Resilience,This effort develops zero-trust network architecture design to address persistent cyber-physical resilience-driven challenges in tactical edge cyber resilience. The team will conduct a phased study combining supply-chain firmware attestation with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback.,Cyber,2021,1644000,University of Summit,ONR-Corporate,CUI-Mock,seed-initial-2026,2021-09-17T15:10:39+00:00
ONRD-2021-USEA-00092,High-Fidelity Approaches to Seabed Mapping via Passive Acoustic Signal Processing,This effort develops passive acoustic signal processing to address persistent acoustic signature reduction-driven challenges in seabed mapping. The team will conduct a phased study combining hydrodynamic hull-form optimization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in detection range and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is acoustic signature reduction; the performer will mitigate this through early prototyping and government checkpoint reviews.,Undersea,2021,958000,Palisade Dynamics Corp.,Code-32,Public-Mock,seed-initial-2026,2021-08-03T13:28:33+00:00
ONRD-2021-BIOT-00093,Toward energy-efficient microbiome-based biofouling mitigation: Implications for warfighter fatigue and readiness monitoring,"This effort develops microbiome-based biofouling mitigation to address persistent physiological baseline-driven challenges in warfighter fatigue and readiness monitoring. Research activities include algorithm development, biomarker-based fatigue detection integration, and iterative field evaluation to quantify gains in diagnostic turnaround time. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback.",Biotech,2021,2481000,University of Pelican,Code-32,CUI-Mock,seed-initial-2026,2021-08-24T16:50:20+00:00
ONRD-2021-CYBR-00094,Phase III: Adversarial Machine-learning Defense for Industrial-control-system (ICS) Protection for Propulsion Systems,"This effort develops adversarial machine-learning defense to address persistent cyber-physical resilience-driven challenges in industrial-control-system (ICS) protection for propulsion systems. The team will conduct a phased study combining secure software-defined networking with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in attack-surface reduction and a documented transition path informed by operational stakeholder feedback. Key technical risks include attack surface and constrained zero-day exposure, which will be tracked via quarterly milestone reviews.",Cyber,2021,343000,Longview Analytics Inc.,Code-30,Public-Mock,seed-initial-2026,2021-01-12T11:45:08+00:00
ONRD-2021-BIOT-00095,Advancing field-deployable diagnostic assay development to Improve warfighter fatigue and readiness monitoring,"This effort develops field-deployable diagnostic assay development to address persistent biomarker specificity-driven challenges in warfighter fatigue and readiness monitoring. The performer will design, implement, and evaluate a prototype capability, validating performance against physiological baseline-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback.",Biotech,2021,188000,University of Anchor,Code-35,Public-Mock,seed-initial-2026,2020-10-15T11:08:05+00:00
ONRD-2021-CYBR-00096,Phase I: Zero-trust Network Architecture Design for Cross-domain Solution Assurance,"This effort develops zero-trust network architecture design to address persistent cyber-physical resilience-driven challenges in cross-domain solution assurance. Research activities include algorithm development, supply-chain firmware attestation integration, and iterative field evaluation to quantify gains in mean time to detect. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback. Key technical risks include cyber-physical resilience and constrained lateral movement, which will be tracked via quarterly milestone reviews.",Cyber,2021,194000,Bluewater College of Engineering,Code-32,CUI-Mock,seed-initial-2026,2020-12-04T08:21:27+00:00
ONRD-2021-CYBR-00097,Phase I: Secure Software-defined Networking for Shipboard Combat-system Network Hardening,This effort develops secure software-defined networking to address persistent cyber-physical resilience-driven challenges in shipboard combat-system network hardening. The team will conduct a phased study combining zero-trust network architecture design with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cyber-physical resilience; the performer will mitigate this through early prototyping and government checkpoint reviews.,Cyber,2021,421000,Cobalt Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2021-08-18T16:41:26+00:00
ONRD-2021-AUTO-00098,Advancing onboard perception-to-action pipelines to Improve unmanned surface vessel (USV) picket lines,"This effort develops onboard perception-to-action pipelines to address persistent swarm resilience-driven challenges in unmanned surface vessel (USV) picket lines. Research activities include algorithm development, swarm coordination algorithms integration, and iterative field evaluation to quantify gains in mission completion rate. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include swarm resilience and constrained autonomy assurance, which will be tracked via quarterly milestone reviews.",Autonomy,2021,571000,Vantage Defense Technologies,Code-34,CUI-Mock,seed-initial-2026,2021-08-07T17:26:13+00:00
ONRD-2021-QNTM-00099,Toward energy-efficient photonic quantum sensing: Implications for secure fleet communications,"This effort develops photonic quantum sensing to address persistent decoherence-driven challenges in secure fleet communications. Research activities include algorithm development, quantum key distribution protocol design integration, and iterative field evaluation to quantify gains in key generation rate. Expected outcomes include a measurable improvement in key generation rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cryogenic control electronics; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2021,116000,Vantage Applied Research LLC,Code-30,CUI-Mock,seed-initial-2026,2021-06-05T09:10:44+00:00
ONRD-2021-MATL-00100,Advancing composite laminate fatigue characterization to Improve hull coating for biofouling resistance,"This effort develops composite laminate fatigue characterization to address persistent fatigue life-driven challenges in hull coating for biofouling resistance. The performer will design, implement, and evaluate a prototype capability, validating performance against corrosion rate-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback.",Materials,2021,223000,University of Amberfield,Code-34,CUI-Mock,seed-initial-2026,2021-06-07T15:21:59+00:00
ONRD-2021-MATL-00101,Scalable Approaches to Thermal-protection Systems for Hypersonic Platforms via Corrosion-resistant Coating Development,"This effort develops corrosion-resistant coating development to address persistent specific strength-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining additive manufacturing process qualification with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include corrosion rate and constrained specific strength, which will be tracked via quarterly milestone reviews.",Materials,2021,131000,Stonebridge Institute of Technology,Code-31,CUI-Mock,seed-initial-2026,2021-07-27T09:44:34+00:00
ONRD-2021-QNTM-00102,Low-Latency Trapped-ion Qubit Control for Gravimetric Anomaly Detection,"This effort develops trapped-ion qubit control to address persistent entanglement distribution-driven challenges in gravimetric anomaly detection. The performer will design, implement, and evaluate a prototype capability, validating performance against decoherence-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in key generation rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is entanglement distribution; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2021,471000,Pelican Labs,Code-30,CUI-Mock,seed-initial-2026,2020-11-08T16:30:21+00:00
ONRD-2021-AIML-00103,Toward modular federated learning: Implications for sensor fusion for contested environments,"This effort develops federated learning to address persistent trust calibration-driven challenges in sensor fusion for contested environments. The performer will design, implement, and evaluate a prototype capability, validating performance against training-data scarcity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.",AI/ML,2021,59000,Redshift Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2020-11-09T09:09:33+00:00
ONRD-2021-MATL-00104,Advancing self-healing polymer synthesis to Improve thermal-protection systems for hypersonic platforms,"This effort develops self-healing polymer synthesis to address persistent fracture toughness-driven challenges in thermal-protection systems for hypersonic platforms. Research activities include algorithm development, high-entropy alloy design integration, and iterative field evaluation to quantify gains in specific strength. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.",Materials,2021,305000,Copperline Polytechnic University,ONR-Corporate,CUI-Mock,seed-initial-2026,2021-05-23T12:35:45+00:00
ONRD-2021-USEA-00105,Undersea Acoustic Communications for Seabed Mapping,"This effort develops undersea acoustic communications to address persistent acoustic signature reduction-driven challenges in seabed mapping. The performer will design, implement, and evaluate a prototype capability, validating performance against depth-rated housings-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in endurance and a documented transition path informed by operational stakeholder feedback.",Undersea,2021,123000,Bluewater Defense Technologies,ONR-Corporate,CUI-Mock,seed-initial-2026,2020-10-12T18:42:06+00:00
ONRD-2021-USEA-00106,Phase III: Low-frequency Active Sonar Waveform Design for Anti-submarine Warfare (ASW) Sensor Networks,"This effort develops low-frequency active sonar waveform design to address persistent bathymetric uncertainty-driven challenges in anti-submarine warfare (ASW) sensor networks. Research activities include algorithm development, hydrodynamic hull-form optimization integration, and iterative field evaluation to quantify gains in detection range. Expected outcomes include a measurable improvement in detection range and a documented transition path informed by operational stakeholder feedback.",Undersea,2021,489000,Wraith Applied Research LLC,Code-34,CUI-Mock,seed-initial-2026,2020-12-07T10:24:16+00:00
ONRD-2021-AIML-00107,Robust Bayesian Uncertainty Quantification for Sensor Fusion for Contested Environments,"This effort develops Bayesian uncertainty quantification to address persistent model drift-driven challenges in sensor fusion for contested environments. Research activities include algorithm development, federated learning integration, and iterative field evaluation to quantify gains in false-alarm rate. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include edge deployment and constrained training-data scarcity, which will be tracked via quarterly milestone reviews.",AI/ML,2021,413000,Highland Advanced Systems Group,Code-30,CUI-Mock,seed-initial-2026,2020-11-23T11:27:35+00:00
ONRD-2021-AIML-00108,Adaptive Approaches to Adversarial Threat Classification via Multi-agent Reinforcement Learning,"This effort develops multi-agent reinforcement learning to address persistent trust calibration-driven challenges in adversarial threat classification. The performer will design, implement, and evaluate a prototype capability, validating performance against training-data scarcity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback.",AI/ML,2021,386000,Copperline Applied Research LLC,Code-35,Public-Mock,seed-initial-2026,2021-02-01T09:27:27+00:00
ONRD-2022-MATL-00109,Low-Latency Approaches to Hull Coating for Biofouling Resistance via Corrosion-resistant Coating Development,"This effort develops corrosion-resistant coating development to address persistent fracture toughness-driven challenges in hull coating for biofouling resistance. Research activities include algorithm development, high-entropy alloy design integration, and iterative field evaluation to quantify gains in thermal tolerance. Expected outcomes include a measurable improvement in thermal tolerance and a documented transition path informed by operational stakeholder feedback.",Materials,2022,2034000,University of Amberfield,Code-34,CUI-Mock,seed-initial-2026,2022-01-04T16:27:55+00:00
ONRD-2022-BIOT-00110,Resilient Field-deployable Diagnostic Assay Development for Rapid Diagnostic Triage in Austere Environments,This effort develops field-deployable diagnostic assay development to address persistent field ruggedization-driven challenges in rapid diagnostic triage in austere environments. The team will conduct a phased study combining human performance physiological modeling with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback.,Biotech,2022,564000,"Farview Systems, Inc.",Code-32,CUI-Mock,seed-initial-2026,2022-06-03T15:47:49+00:00
ONRD-2022-AUTO-00111,Swarm Coordination Algorithms for Group Unmanned Aerial System (UAS) Reconnaissance,"This effort develops swarm coordination algorithms to address persistent onboard compute limits-driven challenges in group unmanned aerial system (UAS) reconnaissance. The performer will design, implement, and evaluate a prototype capability, validating performance against swarm resilience-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include autonomy assurance and constrained swarm resilience, which will be tracked via quarterly milestone reviews.",Autonomy,2022,2388000,University of Farview,ONR-Corporate,Public-Mock,seed-initial-2026,2022-02-20T07:09:04+00:00
ONRD-2022-MATL-00112,High-Fidelity Additive Manufacturing Process Qualification for Lightweight Airframe Structures,"This effort develops additive manufacturing process qualification to address persistent fracture toughness-driven challenges in lightweight airframe structures. The performer will design, implement, and evaluate a prototype capability, validating performance against corrosion rate-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback. Key technical risks include fracture toughness and constrained corrosion rate, which will be tracked via quarterly milestone reviews.",Materials,2022,6310000,Stonebridge Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2022-02-02T11:24:15+00:00
ONRD-2022-DEWX-00113,High-power Microwave Source Design for Atmospheric Propagation Modeling,This effort develops high-power microwave source design to address persistent duty-cycle limits-driven challenges in atmospheric propagation modeling. The team will conduct a phased study combining high-energy laser beam control with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in duty cycle and a documented transition path informed by operational stakeholder feedback.,Directed Energy,2022,2637000,Wraith State University,Code-30,CUI-Mock,seed-initial-2026,2022-01-16T10:37:06+00:00
ONRD-2022-USEA-00114,High-Fidelity Autonomous Underwater Vehicle (AUV) Navigation for Littoral Mine-countermeasure Operations,This effort develops autonomous underwater vehicle (AUV) navigation to address persistent bathymetric uncertainty-driven challenges in littoral mine-countermeasure operations. The team will conduct a phased study combining undersea acoustic communications with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in detection range and a documented transition path informed by operational stakeholder feedback.,Undersea,2022,933000,Silverline Polytechnic University,Code-32,CUI-Mock,seed-initial-2026,2022-09-02T18:04:11+00:00
ONRD-2022-QNTM-00115,Energy-Efficient Approaches to Undersea Navigation Without GPS via Quantum-enhanced Magnetometry,"This effort develops quantum-enhanced magnetometry to address persistent qubit fidelity-driven challenges in undersea navigation without GPS. The performer will design, implement, and evaluate a prototype capability, validating performance against decoherence-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in coherence time and a documented transition path informed by operational stakeholder feedback. Key technical risks include qubit fidelity and constrained cryogenic control electronics, which will be tracked via quarterly milestone reviews.",Quantum,2022,76000,Farview Advanced Systems Group,Code-34,CUI-Mock,seed-initial-2026,2021-12-04T08:09:33+00:00
ONRD-2022-AIML-00116,Phase II: Explainable Neural Inference for Natural-language Mission Planning,"This effort develops explainable neural inference to address persistent edge deployment-driven challenges in natural-language mission planning. Research activities include algorithm development, human-machine teaming policy optimization integration, and iterative field evaluation to quantify gains in operator trust score. Expected outcomes include a measurable improvement in operator trust score and a documented transition path informed by operational stakeholder feedback.",AI/ML,2022,387000,Harborlight Applied Research LLC,Code-31,CUI-Mock,seed-initial-2026,2022-03-15T09:09:38+00:00
ONRD-2022-AIML-00117,Advancing Bayesian uncertainty quantification to Improve natural-language mission planning,"This effort develops Bayesian uncertainty quantification to address persistent trust calibration-driven challenges in natural-language mission planning. The performer will design, implement, and evaluate a prototype capability, validating performance against model drift-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.",AI/ML,2022,896000,University of Cascade,Code-34,CUI-Mock,seed-initial-2026,2022-03-30T16:34:48+00:00
ONRD-2022-DEWX-00118,Energy-Efficient High-energy Laser Beam Control for Atmospheric Propagation Modeling,"This effort develops high-energy laser beam control to address persistent duty-cycle limits-driven challenges in atmospheric propagation modeling. Research activities include algorithm development, thermal management for solid-state lasers integration, and iterative field evaluation to quantify gains in engagement range. Expected outcomes include a measurable improvement in engagement range and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2022,134000,University of Cascade,Code-35,CUI-Mock,seed-initial-2026,2021-10-24T12:37:31+00:00
ONRD-2022-USEA-00119,Toward low-latency autonomous underwater vehicle (AUV) navigation: Implications for submarine detection and tracking,"This effort develops autonomous underwater vehicle (AUV) navigation to address persistent depth-rated housings-driven challenges in submarine detection and tracking. Research activities include algorithm development, hydrodynamic hull-form optimization integration, and iterative field evaluation to quantify gains in endurance. Expected outcomes include a measurable improvement in endurance and a documented transition path informed by operational stakeholder feedback.",Undersea,2022,151000,Driftwood Dynamics Corp.,Code-32,CUI-Mock,seed-initial-2026,2021-12-31T15:34:27+00:00
ONRD-2022-MATL-00120,Toward energy-efficient additive manufacturing process qualification: Implications for thermal-protection systems for hypersonic platforms,This effort develops additive manufacturing process qualification to address persistent corrosion rate-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining corrosion-resistant coating development with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is fatigue life; the performer will mitigate this through early prototyping and government checkpoint reviews.,Materials,2022,642000,Anchor Institute of Technology,Code-31,CUI-Mock,seed-initial-2026,2022-01-27T13:03:19+00:00
ONRD-2022-AIML-00121,Advancing self-supervised representation learning to Improve command-and-control decision support,"This effort develops self-supervised representation learning to address persistent model drift-driven challenges in command-and-control decision support. The performer will design, implement, and evaluate a prototype capability, validating performance against training-data scarcity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. Key technical risks include model drift and constrained trust calibration, which will be tracked via quarterly milestone reviews.",AI/ML,2022,91000,Northgate Labs,Code-31,CUI-Mock,seed-initial-2026,2022-03-19T13:41:55+00:00
ONRD-2022-AUTO-00122,Advancing onboard perception-to-action pipelines to Improve autonomous convoy escort,"This effort develops onboard perception-to-action pipelines to address persistent swarm resilience-driven challenges in autonomous convoy escort. The performer will design, implement, and evaluate a prototype capability, validating performance against autonomy assurance-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in swarm coordination overhead and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is degraded communications; the performer will mitigate this through early prototyping and government checkpoint reviews.",Autonomy,2022,5727000,Sable Institute of Technology,Code-32,CUI-Mock,seed-initial-2026,2021-10-28T15:27:32+00:00
ONRD-2022-DEWX-00123,Toward modular adaptive optics wavefront correction: Implications for directed-energy weapon test-bed evaluation,"This effort develops adaptive optics wavefront correction to address persistent power density-driven challenges in directed-energy weapon test-bed evaluation. The performer will design, implement, and evaluate a prototype capability, validating performance against duty-cycle limits-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2022,509000,"Bluewater Systems, Inc.",Code-31,CUI-Mock,seed-initial-2026,2021-11-03T17:02:12+00:00
ONRD-2022-MATL-00124,Toward robust corrosion-resistant coating development: Implications for battery electrode materials,"This effort develops corrosion-resistant coating development to address persistent fracture toughness-driven challenges in battery electrode materials. Research activities include algorithm development, additive manufacturing process qualification integration, and iterative field evaluation to quantify gains in specific strength. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.",Materials,2022,186000,Sable Dynamics Corp.,Code-32,CUI-Mock,seed-initial-2026,2022-02-24T16:48:45+00:00
ONRD-2022-MATL-00125,Robust Approaches to Lightweight Airframe Structures via High-entropy Alloy Design,"This effort develops high-entropy alloy design to address persistent corrosion rate-driven challenges in lightweight airframe structures. Research activities include algorithm development, composite laminate fatigue characterization integration, and iterative field evaluation to quantify gains in fatigue life. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback. Key technical risks include specific strength and constrained fracture toughness, which will be tracked via quarterly milestone reviews.",Materials,2022,189000,University of Summit,Code-35,CUI-Mock,seed-initial-2026,2021-12-12T13:12:08+00:00
ONRD-2022-BIOT-00126,Human Performance Physiological Modeling for Biofilm-resistant Hull Coatings,This effort develops human performance physiological modeling to address persistent assay sensitivity-driven challenges in biofilm-resistant hull coatings. The team will conduct a phased study combining biomarker-based fatigue detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback.,Biotech,2022,613000,Silverline State University,Code-35,CUI-Mock,seed-initial-2026,2022-08-31T12:03:42+00:00
ONRD-2022-AUTO-00127,High-Fidelity Approaches to Contested-environment Navigation via Model-predictive Control,"This effort develops model-predictive control to address persistent onboard compute limits-driven challenges in contested-environment navigation. Research activities include algorithm development, swarm coordination algorithms integration, and iterative field evaluation to quantify gains in navigation drift. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback. Key technical risks include autonomy assurance and constrained onboard compute limits, which will be tracked via quarterly milestone reviews.",Autonomy,2022,630000,Farview Robotics Corp.,Code-32,Public-Mock,seed-initial-2026,2022-03-09T11:58:47+00:00
ONRD-2022-AIML-00128,Toward modular federated learning: Implications for command-and-control decision support,This effort develops federated learning to address persistent model drift-driven challenges in command-and-control decision support. The team will conduct a phased study combining multi-agent reinforcement learning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is training-data scarcity; the performer will mitigate this through early prototyping and government checkpoint reviews.,AI/ML,2022,698000,Beacon Applied Research LLC,Code-35,CUI-Mock,seed-initial-2026,2021-11-02T16:41:47+00:00
ONRD-2022-QNTM-00129,Toward scalable photonic quantum sensing: Implications for secure fleet communications,This effort develops photonic quantum sensing to address persistent cryogenic control electronics-driven challenges in secure fleet communications. The team will conduct a phased study combining trapped-ion qubit control with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in coherence time and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cryogenic control electronics; the performer will mitigate this through early prototyping and government checkpoint reviews.,Quantum,2022,203000,Copperline Institute of Technology,Code-35,Public-Mock,seed-initial-2026,2022-09-13T18:09:24+00:00
ONRD-2022-BIOT-00130,Advancing microbiome-based biofouling mitigation to Improve biofilm-resistant hull coatings,"This effort develops microbiome-based biofouling mitigation to address persistent physiological baseline-driven challenges in biofilm-resistant hull coatings. The team will conduct a phased study combining biomarker-based fatigue detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback. Key technical risks include assay sensitivity and constrained field ruggedization, which will be tracked via quarterly milestone reviews.",Biotech,2022,1137000,Foxglove Robotics Corp.,Code-32,CUI-Mock,seed-initial-2026,2021-10-15T15:33:10+00:00
ONRD-2022-BIOT-00131,Phase I: Microbiome-based Biofouling Mitigation for Cold-chain-free Vaccine Stabilization,"This effort develops microbiome-based biofouling mitigation to address persistent assay sensitivity-driven challenges in cold-chain-free vaccine stabilization. Research activities include algorithm development, biomarker-based fatigue detection integration, and iterative field evaluation to quantify gains in biomarker specificity. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback.",Biotech,2022,283000,Beacon Defense Technologies,ONR-Corporate,Public-Mock,seed-initial-2026,2021-12-13T10:04:11+00:00
ONRD-2022-MATL-00132,Phase II: Additive Manufacturing Process Qualification for Thermal-protection Systems for Hypersonic Platforms,This effort develops additive manufacturing process qualification to address persistent specific strength-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining self-healing polymer synthesis with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback.,Materials,2022,779000,Sable Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2022-06-16T09:25:57+00:00
ONRD-2022-DEWX-00133,Next-Generation Approaches to Shipboard Self-defense Layers via Pulsed-power System Integration,This effort develops pulsed-power system integration to address persistent beam quality-driven challenges in shipboard self-defense layers. The team will conduct a phased study combining high-power microwave source design with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is duty-cycle limits; the performer will mitigate this through early prototyping and government checkpoint reviews.,Directed Energy,2022,6046000,Duskwater Dynamics Corp.,Code-34,CUI-Mock,seed-initial-2026,2022-01-06T18:26:35+00:00
ONRD-2022-DEWX-00134,Low-Latency Approaches to Shipboard Self-defense Layers via Adaptive Optics Wavefront Correction,"This effort develops adaptive optics wavefront correction to address persistent thermal blooming-driven challenges in shipboard self-defense layers. Research activities include algorithm development, high-power microwave source design integration, and iterative field evaluation to quantify gains in time-on-target. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2022,125000,Pelican Advanced Systems Group,Code-32,CUI-Mock,seed-initial-2026,2021-12-31T15:47:33+00:00
ONRD-2022-USEA-00135,Advancing hydrodynamic hull-form optimization to Improve anti-submarine warfare (ASW) sensor networks,"This effort develops hydrodynamic hull-form optimization to address persistent bathymetric uncertainty-driven challenges in anti-submarine warfare (ASW) sensor networks. The performer will design, implement, and evaluate a prototype capability, validating performance against ambient ocean noise-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in signal-to-noise ratio and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is ambient ocean noise; the performer will mitigate this through early prototyping and government checkpoint reviews.",Undersea,2022,155000,Northgate Analytics Inc.,Code-30,Public-Mock,seed-initial-2026,2022-05-26T11:39:51+00:00
ONRD-2022-MATL-00136,Next-Generation Corrosion-resistant Coating Development for Battery Electrode Materials,"This effort develops corrosion-resistant coating development to address persistent corrosion rate-driven challenges in battery electrode materials. The team will conduct a phased study combining composite laminate fatigue characterization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include fracture toughness and constrained specific strength, which will be tracked via quarterly milestone reviews.",Materials,2022,951000,Bluewater State University,Code-30,CUI-Mock,seed-initial-2026,2021-12-26T11:41:50+00:00
ONRD-2022-QNTM-00137,Field-Deployable Photonic Quantum Sensing for Secure Fleet Communications,This effort develops photonic quantum sensing to address persistent cryogenic control electronics-driven challenges in secure fleet communications. The team will conduct a phased study combining quantum key distribution protocol design with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in sensor sensitivity and a documented transition path informed by operational stakeholder feedback.,Quantum,2022,2827000,University of Windrose,Code-35,CUI-Mock,seed-initial-2026,2021-11-03T07:57:32+00:00
